# _tick,_time,step,mean_episode_return,mean_episode_step,total_loss,pg_loss,baseline_loss,entropy_loss,learner_queue_size,train_seconds
41,1654565570.0768564,970240,5.409997940063477,3404.0625,187.6009979248047,65.78536224365234,124.10784912109375,-2.292226552963257,32,541.4
42,1654565581.3534644,990720,-4.950597286224365,3757.587646484375,-10.097991943359375,-32.81991195678711,27.76079559326172,-5.038875579833984,32,551.4
43,1654565582.8636186,993280,-7.130602836608887,3422.441162109375,-47.59523010253906,-49.29882049560547,6.398110389709473,-4.694518566131592,32,551.4
44,1654565592.922021,1011200,20.71933937072754,3390.07861328125,171.46572875976562,105.82378387451172,71.73115539550781,-6.089205265045166,32,561.5
45,1654565600.153078,1024000,-12.450716018676758,3437.10009765625,-99.76492309570312,-103.0567855834961,9.692208290100098,-6.400343894958496,32,571.5
46,1654565604.4178698,1031680,3.9397294521331787,3405.74267578125,63.004310607910156,32.64680480957031,36.55363464355469,-6.19612979888916,32,576.5
47,1654565609.9623358,1041920,17.044620513916016,3482.114013671875,105.9671630859375,62.68355178833008,49.522274017333984,-6.238659858703613,32,581.5
48,1654565614.3120933,1049600,22.40929412841797,3651.925537109375,665.6410522460938,303.60040283203125,368.5517883300781,-6.511140823364258,32,586.5
49,1654565617.028061,1054720,12.869275093078613,3701.88134765625,-43.263771057128906,-105.01118469238281,68.23121643066406,-6.483803749084473,32,586.5
50,1654565624.3316503,1067520,6.779792785644531,3398.486083984375,-56.21077346801758,-66.50183868408203,16.60326385498047,-6.312197685241699,32,596.5
51,1654565627.2866137,1072640,20.569307327270508,3853.706787109375,-128.84840393066406,-127.47763061523438,4.859987258911133,-6.23075532913208,32,596.5
52,1654565638.7113228,1093120,63.92083740234375,3599.78173828125,109.28598022460938,46.67066955566406,68.29747009277344,-5.682158470153809,32,611.6
53,1654565650.3206599,1113600,12.719196319580078,3737.85791015625,-26.244949340820312,-31.493587493896484,11.675732612609863,-6.427093029022217,32,621.7
54,1654565663.0607314,1136640,-18.430530548095703,4014.81103515625,30.494003295898438,-20.850624084472656,57.485599517822266,-6.1409711837768555,32,631.7
55,1654565667.0647528,1144320,51.85399627685547,3815.287841796875,-8.532066345214844,-45.45417785644531,42.93341064453125,-6.0112996101379395,32,636.7
56,1654565679.9596288,1167360,28.219173431396484,4096.79736328125,-161.4799346923828,-193.18682861328125,37.845359802246094,-6.138467311859131,32,651.7
57,1654565685.7336984,1177600,116.42996978759766,3644.287109375,35.783447265625,-0.35602283477783203,41.47812271118164,-5.3386549949646,32,656.7
58,1654565690.00932,1185280,-13.039815902709961,3866.10009765625,-44.749114990234375,-45.91639709472656,5.490644454956055,-4.323362350463867,32,661.7
59,1654565694.183376,1192960,24.86914825439453,4223.09423828125,-39.78775405883789,-39.35809326171875,2.995335102081299,-3.4249956607818604,32,666.7
60,1654565695.5239975,1195520,15.159428596496582,3946.31640625,10.412830352783203,-6.7331743240356445,20.20343589782715,-3.057431697845459,32,666.7
61,1654565698.4038508,1200640,49.47935485839844,3341.10791015625,17.402938842773438,-13.457632064819336,34.78340148925781,-3.9228296279907227,32,666.7
62,1654565705.8056333,1213440,11.159647941589355,3515.509521484375,-13.438844680786133,-19.48689842224121,10.814990997314453,-4.766936779022217,32,676.7
63,1654565708.5909507,1218560,8.654107093811035,4350.0380859375,-61.415733337402344,-59.77078628540039,4.066011428833008,-5.710961818695068,32,676.7
64,1654565710.0022242,1221120,107.9692153930664,4021.69921875,56.86842346191406,33.087379455566406,29.330312728881836,-5.549269676208496,32,681.7
65,1654565717.3972957,1233920,-10.920659065246582,4118.59375,94.98284149169922,72.09809875488281,29.983074188232422,-7.098331928253174,32,686.7
66,1654565718.8693717,1236480,21.169143676757812,3950.429443359375,-52.058231353759766,-50.32046127319336,5.106342315673828,-6.844113826751709,32,691.7
67,1654565727.342367,1251840,20.91922950744629,3768.618896484375,579.298828125,397.0819091796875,189.20040893554688,-6.983502388000488,32,696.7
68,1654565736.1039028,1267200,-36.029335021972656,4187.884765625,203.3254852294922,118.37925720214844,92.06726837158203,-7.121045112609863,32,706.7
69,1654565740.3626437,1274880,58.609188079833984,4016.9765625,288.8713684082031,125.6692123413086,170.22837829589844,-7.026226997375488,32,711.7
70,1654565746.1322434,1285120,9.779163360595703,3884.51611328125,-105.208984375,-108.00606536865234,9.729998588562012,-6.93291711807251,32,716.7
71,1654565748.9840941,1290240,100.80900573730469,4171.63916015625,-121.39793395996094,-150.25015258789062,35.77198791503906,-6.919766426086426,32,721.8
72,1654565750.4644299,1292800,4.839293479919434,4453.0,22.243297576904297,-34.07439422607422,63.2523307800293,-6.934638023376465,32,721.8
73,1654565751.8921995,1295360,39.409507751464844,4089.17236328125,154.1751708984375,88.9278564453125,72.09735870361328,-6.850038528442383,32,721.8
74,1654565758.9421427,1308160,62.879920959472656,3302.368896484375,78.97349548339844,21.46969985961914,64.43785095214844,-6.934054851531982,32,731.8
75,1654565761.701534,1313280,17.879154205322266,3383.347412109375,-42.36946487426758,-56.336544036865234,20.46805191040039,-6.500973224639893,32,731.8
76,1654565766.109754,1320960,74.21762084960938,4013.75,78.57429504394531,34.64992141723633,50.21499252319336,-6.290618419647217,32,736.8
77,1654565768.7927587,1326080,31.229141235351562,4077.40673828125,-144.21475219726562,-146.53794860839844,8.535395622253418,-6.212198734283447,32,741.8
78,1654565770.1190405,1328640,31.769954681396484,4048.73291015625,-46.769859313964844,-66.73379516601562,26.238300323486328,-6.274364471435547,32,741.8
79,1654565772.871318,1333760,56.08718490600586,3874.191162109375,-0.6060547828674316,-29.00848960876465,34.628536224365234,-6.226101398468018,32,741.8
80,1654565778.5231829,1344000,42.87918472290039,3945.48291015625,17.519611358642578,5.937271595001221,17.56048011779785,-5.978139400482178,32,746.8
81,1654565781.340735,1349120,4.409104824066162,4254.89990234375,12.868776321411133,-22.19219398498535,41.26957702636719,-6.208606719970703,32,751.8
82,1654565782.7071385,1351680,14.738973617553711,3948.31884765625,222.01751708984375,161.23492431640625,66.43785095214844,-5.655264854431152,32,751.8
83,1654565787.2164614,1359360,4.254627227783203,3871.428955078125,264.35845947265625,138.5220947265625,132.10086059570312,-6.264504432678223,32,756.8
84,1654565788.7062333,1361920,44.1796875,4136.00634765625,-62.66938781738281,-80.8160629272461,24.27408790588379,-6.1274094581604,32,756.8
85,1654565790.1907432,1364480,12.576919555664062,3608.800537109375,139.37008666992188,49.555763244628906,96.21165466308594,-6.397345542907715,32,761.8
86,1654565791.5706403,1367040,8.209049224853516,4096.45166015625,144.51422119140625,75.72999572753906,75.07769775390625,-6.293478012084961,32,761.8
87,1654565792.9279263,1369600,0.9969396591186523,4031.09814453125,347.05108642578125,192.59268188476562,160.534423828125,-6.076014995574951,32,761.8
88,1654565794.3173926,1372160,41.125511169433594,3911.64306640625,9.57968807220459,-64.49284362792969,80.33720397949219,-6.26467227935791,32,766.8
89,1654565795.7286835,1374720,58.327571868896484,4173.2890625,60.41024398803711,14.421043395996094,52.403621673583984,-6.414416790008545,32,766.8
90,1654565797.1392694,1377280,17.626873016357422,3773.059814453125,-10.259262084960938,-38.01710510253906,34.245304107666016,-6.487461566925049,32,766.8
91,1654565800.0782537,1382400,31.52931785583496,3425.947265625,197.36209106445312,81.34373474121094,122.75431060791016,-6.735969066619873,32,771.8
92,1654565801.4677079,1384960,-2.5102972984313965,3695.734375,1.8324322700500488,-47.89991760253906,56.29900360107422,-6.566653728485107,32,771.8
93,1654565802.9282646,1387520,49.85141372680664,4152.05615234375,-18.28902244567871,-55.09646224975586,43.423667907714844,-6.616227626800537,32,771.8
94,1654565804.3042893,1390080,-4.4659423828125,3633.028564453125,-36.844417572021484,-43.97161865234375,13.723861694335938,-6.596661567687988,32,776.8
95,1654565805.668377,1392640,-3.6702542304992676,3670.796875,-40.56590270996094,-55.36223602294922,21.394153594970703,-6.597818374633789,32,776.8
96,1654565807.1921022,1395200,-34.228824615478516,3625.56298828125,15.32950496673584,-2.6905460357666016,24.671161651611328,-6.651110649108887,32,776.8
97,1654565811.4726155,1402880,53.16159439086914,4099.84423828125,252.79100036621094,150.77395629882812,108.75035095214844,-6.733297824859619,32,781.8
98,1654565812.9419596,1405440,35.136871337890625,3254.259765625,376.0454406738281,222.90414428710938,159.8006591796875,-6.6593732833862305,32,781.8
99,1654565814.3623512,1408000,90.70831298828125,3360.28173828125,167.854248046875,81.82272338867188,92.73765563964844,-6.7061309814453125,32,786.8
100,1654565815.7944531,1410560,37.11015319824219,3456.743896484375,195.45265197753906,134.787841796875,66.98145294189453,-6.316634178161621,32,786.8
101,1654565820.2972248,1418240,42.780513763427734,3271.5703125,362.5436096191406,189.50697326660156,179.5452117919922,-6.508579254150391,32,791.8
102,1654565821.7723362,1420800,19.359046936035156,3544.18798828125,1429.6248779296875,439.4064025878906,996.6484375,-6.429889678955078,32,791.8
103,1654565824.540394,1425920,39.85007095336914,3281.90625,338.0731506347656,193.5264434814453,150.90789794921875,-6.3611674308776855,32,796.8
104,1654565825.9770668,1428480,71.77088928222656,2703.509521484375,-184.96426391601562,-202.62045288085938,24.0091552734375,-6.352962493896484,32,796.8
