# _tick,_time,train_seconds,step,mean_episode_return,mean_episode_step,total_loss,pg_loss,baseline_loss,entropy_loss,learner_queue_size
29,1654749727.6022558,85.5,245760,-11.15015983581543,848.0007934570312,28.314573287963867,46.07176208496094,2.8917531967163086,-20.648942947387695,64
30,1654749729.3825264,90.5,250880,-10.13347053527832,897.1988525390625,65.89010620117188,79.20480346679688,7.709080696105957,-21.023780822753906,64
31,1654749732.813065,95.5,261120,-6.788078308105469,914.3720703125,115.0975570678711,117.25949096679688,18.925785064697266,-21.08771324157715,64
32,1654749736.3088531,95.5,271360,-5.7200822830200195,953.0900268554688,-20.670116424560547,-5.133230209350586,5.270285606384277,-20.807172775268555,64
33,1654749743.2185187,105.6,291840,-12.490190505981445,1021.4189453125,7.720424652099609,23.590641021728516,4.512167453765869,-20.382383346557617,64
34,1654749744.9484262,105.6,296960,-8.997603416442871,1005.7687377929688,53.60742950439453,67.39588928222656,7.126771450042725,-20.915231704711914,64
35,1654749748.7203338,110.6,307200,-12.240184783935547,1101.30078125,-98.9397964477539,-79.46646118164062,1.30670964717865,-20.78004264831543,64
36,1654749754.0036075,115.6,322560,-12.730195999145508,1209.5048828125,-20.713459014892578,-0.9183402061462402,1.6782479286193848,-21.47336769104004,64
37,1654749755.6981997,115.6,327680,-16.17027473449707,1100.125244140625,-20.151485443115234,-0.3465695381164551,1.492134928703308,-21.29705047607422,64
38,1654749757.3260906,115.6,332800,-1.1699992418289185,1134.4976806640625,-86.6822509765625,-67.3596420288086,1.9612210988998413,-21.283832550048828,64
39,1654749760.7408245,120.6,343040,1.0698137283325195,1173.2352294921875,-50.85377502441406,-36.716285705566406,7.114725112915039,-21.252216339111328,64
40,1654749762.5198953,120.6,348160,-12.48019027709961,1255.5252685546875,39.421775817871094,56.05177307128906,4.307904243469238,-20.93790054321289,64
41,1654749764.244129,125.6,353280,-10.900151252746582,1171.4627685546875,44.979095458984375,58.13945007324219,7.870928764343262,-21.031278610229492,64
42,1654749773.0057578,135.6,378880,-4.150065898895264,1283.802734375,60.081451416015625,72.70124053955078,8.785867691040039,-21.405656814575195,64
43,1654749781.8682225,140.6,404480,-13.600215911865234,1383.2987060546875,-35.297115325927734,-15.82565975189209,1.5162832736968994,-20.98773765563965,64
44,1654749785.3724322,145.6,414720,-1.0199979543685913,1458.4625244140625,34.88323211669922,50.46212387084961,5.491911888122559,-21.0708065032959,64
45,1654749787.167552,145.6,419840,-15.060249328613281,1479.359619140625,-17.951885223388672,-0.8118529319763184,4.0043110847473145,-21.144344329833984,64
46,1654749790.8539717,150.6,430080,-8.860382080078125,1479.3221435546875,95.40164184570312,106.46528625488281,10.368953704833984,-21.432598114013672,64
47,1654749794.3507564,155.6,440320,-13.440235137939453,1542.414306640625,-3.023050308227539,14.58219051361084,3.6271634101867676,-21.232404708862305,64
48,1654749799.5945706,160.6,455680,-1.2300176620483398,1520.4725341796875,102.6777114868164,118.71341705322266,5.127242088317871,-21.16295051574707,64
49,1654749804.7042189,165.6,471040,-12.150182723999023,1679.87890625,43.894012451171875,56.8575553894043,8.240143775939941,-21.203691482543945,64
50,1654749806.3775382,165.6,476160,-16.730287551879883,1621.569580078125,-72.95338439941406,-54.933258056640625,3.216404438018799,-21.236530303955078,64
51,1654749809.9591057,170.6,486400,-20.720375061035156,1786.59375,516.4498901367188,425.122314453125,112.6346664428711,-21.307048797607422,64
52,1654749815.1227076,175.6,501760,-18.300323486328125,1720.851806640625,38.12493133544922,53.02711868286133,6.368542671203613,-21.270727157592773,64
53,1654749820.422955,180.6,517120,-16.345359802246094,1748.4908447265625,5.113822937011719,21.282880783081055,4.688634872436523,-20.85769271850586,64
54,1654749825.7994645,185.6,532480,-20.4404296875,1763.126953125,153.77761840820312,156.81265258789062,17.922819137573242,-20.957853317260742,64
55,1654749829.754685,190.6,542720,-6.66507625579834,1807.837158203125,3.0401840209960938,17.187374114990234,6.743881702423096,-20.891071319580078,64
56,1654749843.7916014,205.6,583680,-22.160411834716797,1864.228515625,656.7234497070312,456.6893310546875,220.97305297851562,-20.93892478942871,64
57,1654749847.13354,205.6,593920,-18.940410614013672,2109.036376953125,73.1605224609375,82.70028686523438,11.46937370300293,-21.009140014648438,64
58,1654749850.6540637,210.6,604160,-18.63033103942871,2006.48046875,120.67023468017578,133.4196014404297,8.329721450805664,-21.0790958404541,64
59,1654749852.3639872,210.6,609280,-10.732730865478516,2037.217041015625,88.08741760253906,92.0018310546875,17.0328311920166,-20.947246551513672,64
60,1654749860.8522563,220.6,629760,-22.84042739868164,2129.861083984375,-15.673365592956543,2.5772480964660645,3.052544116973877,-21.303157806396484,64
61,1654749864.5868132,225.6,640000,-20.930543899536133,2162.189208984375,60.76667404174805,76.28828430175781,5.754426002502441,-21.27603530883789,64
62,1654749866.2584956,225.6,645120,-32.340579986572266,2236.766357421875,84.41981506347656,86.70439147949219,19.020565032958984,-21.30514907836914,64
63,1654749869.8021588,230.7,655360,-28.9505672454834,2099.7783203125,142.21339416503906,102.0051498413086,61.250694274902344,-21.04244613647461,64
64,1654749874.7985046,235.7,670720,-9.92013168334961,2245.697021484375,-23.850425720214844,-6.478959083557129,3.244472026824951,-20.615938186645508,64
65,1654749885.2579226,245.7,701440,-22.105480194091797,2295.250732421875,76.91242218017578,87.14454650878906,10.887406349182129,-21.119531631469727,64
66,1654749887.0082672,245.7,706560,-9.257732391357422,2589.156982421875,61.660125732421875,73.51507568359375,9.202295303344727,-21.057241439819336,64
67,1654749888.7973802,250.7,711680,-26.84054183959961,2269.828125,10.989110946655273,27.62228775024414,4.32070779800415,-20.95388412475586,64
68,1654749892.4762604,250.7,721920,-25.540489196777344,2257.101806640625,-4.805469512939453,12.858095169067383,3.39738130569458,-21.060945510864258,64
69,1654749898.8936613,260.7,737280,-29.370576858520508,2420.815673828125,-3.1463470458984375,14.746732711791992,3.3538780212402344,-21.246957778930664,64
70,1654749902.521762,260.7,747520,-23.310483932495117,2395.2470703125,453.0815734863281,395.677734375,78.517822265625,-21.113988876342773,64
71,1654749904.2762785,265.7,752640,-6.945087909698486,2502.50634765625,90.61402893066406,100.09667205810547,11.686856269836426,-21.169504165649414,64
72,1654749909.3739338,270.7,768000,-31.960636138916016,2677.406494140625,-35.59758758544922,-16.289377212524414,1.8534547090530396,-21.161664962768555,64
73,1654749912.9731643,275.7,778240,-0.8799994587898254,2602.5,43.58169174194336,58.33094024658203,6.336800575256348,-21.086048126220703,64
74,1654749916.4591079,275.7,788480,-10.116878509521484,2489.50634765625,94.87252807617188,107.23709106445312,8.798763275146484,-21.163333892822266,64
